0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:58:02 +0530] "GET /IBM_PROJECTS_OJT2024/vendor/jquery/jquery.min.js HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:58:02 +0530] "GET /IBM_PROJECTS_OJT2024/js/main.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:58:02 +0530] "GET /IBM_PROJECTS_OJT2024/alert/dist/sweetalert.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:58:03 +0530] "GET /IBM_PROJECTS_OJT2024/img/signup_video.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:58:06 +0530] "GET /IBM_PROJECTS_OJT2024/login.jsp HTTP/1.1" 200 7208
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:58:06 +0530] "GET /IBM_PROJECTS_OJT2024/js/main.js HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:58:06 +0530] "GET /IBM_PROJECTS_OJT2024/vendor/jquery/jquery.min.js HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:58:06 +0530] "GET /IBM_PROJECTS_OJT2024/alert/dist/sweetalert.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:58:06 +0530] "GET /IBM_PROJECTS_OJT2024/img/Login_Form.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:58:26 +0530] "POST /IBM_PROJECTS_OJT2024/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:58:26 +0530] "GET /IBM_PROJECTS_OJT2024/Admin/index.jsp HTTP/1.1" 200 12604
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:58:26 +0530] "GET /IBM_PROJECTS_OJT2024/Admin/images/faces/face8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:58:33 +0530] "GET /IBM_PROJECTS_OJT2024/Admin/user-manage.jsp HTTP/1.1" 200 13435
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:58:38 +0530] "GET /IBM_PROJECTS_OJT2024/Admin/index.jsp HTTP/1.1" 200 12604
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:58:40 +0530] "GET /IBM_PROJECTS_OJT2024/Admin/volunteer-manage.jsp HTTP/1.1" 200 32532
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:58:46 +0530] "GET /IBM_PROJECTS_OJT2024/Admin/index.jsp HTTP/1.1" 200 12604
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:58:48 +0530] "GET /IBM_PROJECTS_OJT2024/Admin/view-species.jsp HTTP/1.1" 200 17386
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:58:59 +0530] "GET /CrudOperation HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:58:59 +0530] "GET /CrudOperation/ HTTP/1.1" 200 24705
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:59:30 +0530] "GET /CrudOperation/edit?speciesID=1 HTTP/1.1" 200 8800
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:59:31 +0530] "GET /CrudOperation/list HTTP/1.1" 200 24705
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:59:34 +0530] "GET /CrudOperation/new HTTP/1.1" 200 8418
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:59:36 +0530] "GET /CrudOperation/list HTTP/1.1" 200 24705
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:59:37 +0530] "GET /IBM_PROJECTS_OJT2024/Admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:59:37 +0530] "GET /IBM_PROJECTS_OJT2024/Admin/ HTTP/1.1" 200 12604
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:59:41 +0530] "GET /IBM_PROJECTS_OJT2024/Admin/add-user.jsp HTTP/1.1" 200 10999
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:59:43 +0530] "GET /IBM_PROJECTS_OJT2024/Admin/user-manage.jsp HTTP/1.1" 200 13435
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:59:47 +0530] "GET /IBM_PROJECTS_OJT2024/Admin/add-admin.jsp HTTP/1.1" 200 10701
